Age,State,Number
45 to 64 Years,NE,451756
45 to 64 Years,NH,388250
45 to 64 Years,NJ,2335168
45 to 64 Years,NM,501604
45 to 64 Years,NV,653357
45 to 64 Years,NY,5120254
45 to 64 Years,OH,3083815
45 to 64 Years,OK,918688
45 to 64 Years,OR,1036269
45 to 64 Years,PA,3414001
45 to 64 Years,RI,282321
45 to 64 Years,SC,1186019
45 to 64 Years,SD,210178
45 to 64 Years,TN,1646623
45 to 64 Years,TX,5656528
45 to 64 Years,UT,538978
45 to 64 Years,VA,2033550
45 to 64 Years,VT,188593
45 to 64 Years,WA,1762811
45 to 64 Years,WI,1522038
45 to 64 Years,WV,514505
45 to 64 Years,WY,147279
5 to 13 Years,AK,85640
5 to 13 Years,AL,552339
5 to 13 Years,AR,343207
5 to 13 Years,AZ,828669
5 to 13 Years,CA,4499890
5 to 13 Years,CO,587154
5 to 13 Years,CT,403658
5 to 13 Years,DC,50439
5 to 13 Years,DE,99496
5 to 13 Years,FL,1938695
5 to 13 Years,GA,1250460
5 to 13 Years,HI,134025
5 to 13 Years,IA,345409
5 to 13 Years,ID,201192
5 to 13 Years,IL,1558919
5 to 13 Years,IN,780199
5 to 13 Years,KS,342134
5 to 13 Years,KY,493536
5 to 13 Years,LA,542341
5 to 13 Years,MA,701752
5 to 13 Years,MD,651923
5 to 13 Years,ME,133656
5 to 13 Years,MI,1179503
5 to 13 Years,MN,606802
5 to 13 Years,MO,690476
5 to 13 Years,MS,371502
5 to 13 Years,MT,106088
5 to 13 Years,NC,1097890
5 to 13 Years,ND,67358
5 to 13 Years,NE,215265
5 to 13 Years,NH,144235
5 to 13 Years,NJ,1011656
5 to 13 Years,NM,241326
5 to 13 Years,NV,325650
5 to 13 Years,NY,2141490
5 to 13 Years,OH,1340492
5 to 13 Years,OK,438926
5 to 13 Years,OR,424167
5 to 13 Years,PA,1345341
5 to 13 Years,RI,111408
5 to 13 Years,SC,517803
5 to 13 Years,SD,94438
5 to 13 Years,TN,725948
5 to 13 Years,TX,3277946
5 to 13 Years,UT,413034
5 to 13 Years,VA,887525
5 to 13 Years,VT,62538
5 to 13 Years,WA,750274
5 to 13 Years,WI,640286
5 to 13 Years,WV,189649
5 to 13 Years,WY,60890
65 Years and Over,AK,50277
65 Years and Over,AL,641667
65 Years and Over,AR,407205
65 Years and Over,AZ,862573
65 Years and Over,CA,4114496
65 Years and Over,CO,511094
65 Years and Over,CT,478007
65 Years and Over,DC,70648
65 Years and Over,DE,121688
65 Years and Over,FL,3187797
65 Years and Over,GA,981024
65 Years and Over,HI,190067
65 Years and Over,IA,444554
65 Years and Over,ID,182150
65 Years and Over,IL,1575308
65 Years and Over,IN,813839
65 Years and Over,KS,366706
65 Years and Over,KY,565867
65 Years and Over,LA,540314
65 Years and Over,MA,871098
65 Years and Over,MD,679565
65 Years and Over,ME,199187
65 Years and Over,MI,1304322
65 Years and Over,MN,650519
65 Years and Over,MO,805235
65 Years and Over,MS,371598
65 Years and Over,MT,137312
65 Years and Over,NC,1139052
65 Years and Over,ND,94276
65 Years and Over,NE,240847
65 Years and Over,NH,169978
65 Years and Over,NJ,1150941
65 Years and Over,NM,260051
65 Years and Over,NV,296717
65 Years and Over,NY,2607672
65 Years and Over,OH,1570837
65 Years and Over,OK,490637
65 Years and Over,OR,503998
65 Years and Over,PA,1910571
65 Years and Over,RI,147646
65 Years and Over,SC,596295
65 Years and Over,SD,116100
65 Years and Over,TN,819626
65 Years and Over,TX,2472223
65 Years and Over,UT,246202
65 Years and Over,VA,940577
65 Years and Over,VT,86649
65 Years and Over,WA,783877
65 Years and Over,WI,750146
65 Years and Over,WV,285067
65 Years and Over,WY,65614
Under 5 Years,AK,52083
Under 5 Years,AL,310504
Under 5 Years,AR,202070
Under 5 Years,AZ,515910
Under 5 Years,CA,2704659
Under 5 Years,CO,358280
Under 5 Years,CT,211637
Under 5 Years,DC,36352
Under 5 Years,DE,59319
Under 5 Years,FL,1140516
Under 5 Years,GA,740521
Under 5 Years,HI,87207
Under 5 Years,IA,201321
Under 5 Years,ID,121746
Under 5 Years,IL,894368
Under 5 Years,IN,443089
Under 5 Years,KS,202529
Under 5 Years,KY,284601
Under 5 Years,LA,310716
Under 5 Years,MA,383568
Under 5 Years,MD,371787
Under 5 Years,ME,71459
Under 5 Years,MI,625526
Under 5 Years,MN,358471
Under 5 Years,MO,399450
Under 5 Years,MS,220813
Under 5 Years,MT,61114
Under 5 Years,NC,652823
Under 5 Years,ND,41896
Under 5 Years,NE,132092
Under 5 Years,NH,75297
Under 5 Years,NJ,557421
Under 5 Years,NM,148323
Under 5 Years,NV,199175
Under 5 Years,NY,1208495
Under 5 Years,OH,743750
Under 5 Years,OK,266547
Under 5 Years,OR,243483
Under 5 Years,PA,737462
Under 5 Years,RI,60934
Under 5 Years,SC,303024
Under 5 Years,SD,58566
Under 5 Years,TN,416334
Under 5 Years,TX,2027307
Under 5 Years,UT,268916
Under 5 Years,VA,522672
Under 5 Years,VT,32635
Under 5 Years,WA,433119
Under 5 Years,WI,362277
Under 5 Years,WV,105435
Under 5 Years,WY,38253
