year,show,ethnicity,actors,theater,type,non-profit
2008-2009,Rock of Ages,Caucasian,16,,Musical,
2008-2009,Rock of Ages,Latino,0,,Musical,
2008-2009,Rock of Ages,Other,0,,Musical,
2008-2009,Shrek,African American,4,,Musical,
2008-2009,Shrek,Asian American,1,,Musical,
2008-2009,Shrek,Caucasian,25,,Musical,
2008-2009,Shrek,Latino,1,,Musical,
2008-2009,Shrek,Other,0,,Musical,
2008-2009,Slava's Snowshow,African American,0,,Play,
2008-2009,Slava's Snowshow,Asian American,0,,Play,
2008-2009,Slava's Snowshow,Caucasian,11,,Play,
2008-2009,Slava's Snowshow,Latino,0,,Play,
2008-2009,Slava's Snowshow,Other,0,,Play,
2008-2009,Soul of Shaolin,African American,0,,Special Performance,
2008-2009,Soul of Shaolin,Asian American,30,,Special Performance,
2008-2009,Soul of Shaolin,Caucasian,0,,Special Performance,
2008-2009,Soul of Shaolin,Latino,0,,Special Performance,
2008-2009,Soul of Shaolin,Other,0,,Special Performance,
2008-2009,Speed the Plow,African American,0,,Play,
2008-2009,Speed the Plow,Asian American,0,,Play,
2008-2009,Speed the Plow,Caucasian,4,,Play,
2008-2009,Speed the Plow,Latino,1,,Play,
2008-2009,Speed the Plow,Other,0,,Play,
2008-2009,The American Plan,African American,2,,Play,
2008-2009,The American Plan,Asian American,0,,Play,
2008-2009,The American Plan,Caucasian,6,,Play,
2008-2009,The American Plan,Latino,1,,Play,
2008-2009,The American Plan,Other,0,,Play,
2008-2009,The Norman Conquests,African American,0,,Play,
2008-2009,The Norman Conquests,Asian American,0,,Play,
2008-2009,The Norman Conquests,Caucasian,10,,Play,
2008-2009,The Norman Conquests,Latino,0,,Play,
2008-2009,The Norman Conquests,Other,0,,Play,
2008-2009,The Philanthropist,African American,0,,Play,
2008-2009,The Philanthropist,Asian American,0,,Play,
2008-2009,The Philanthropist,Caucasian,10,,Play,
2008-2009,The Philanthropist,Latino,0,,Play,
2008-2009,The Philanthropist,Other,0,,Play,
2008-2009,The Seagull,African American,0,,Play,
2008-2009,The Seagull,Asian American,1,,Play,
2008-2009,The Seagull,Caucasian,16,,Play,
2008-2009,The Seagull,Latino,0,,Play,
2008-2009,The Seagull,Other,0,,Play,
2008-2009,The Story of My Life,African American,0,,Musical,
2008-2009,The Story of My Life,Asian American,0,,Musical,
2008-2009,The Story of My Life,Caucasian,6,,Musical,
2008-2009,The Story of My Life,Latino,0,,Musical,
2008-2009,The Story of My Life,Other,0,,Musical,
2008-2009,Thirteen,African American,2,,Musical,
2008-2009,Thirteen,Asian American,0,,Musical,
2008-2009,Thirteen,Caucasian,15,,Musical,
2008-2009,Thirteen,Latino,2,,Musical,
2008-2009,Thirteen,Other,0,,Musical,
2008-2009,To Be or Not to Be,African American,0,,Play,
2008-2009,To Be or Not to Be,Asian American,0,,Play,
2008-2009,To Be or Not to Be,Caucasian,16,,Play,
2008-2009,To Be or Not to Be,Latino,0,,Play,
2008-2009,To Be or Not to Be,Other,0,,Play,
2008-2009,Waiting for Godot,African American,0,,Play,
2008-2009,Waiting for Godot,Asian American,0,,Play,
2008-2009,Waiting for Godot,Caucasian,8,,Play,
2008-2009,Waiting for Godot,Latino,0,,Play,
2008-2009,Waiting for Godot,Other,0,,Play,
2008-2009,West Side Story,African American,0,,Musical,
2008-2009,West Side Story,Asian American,0,,Musical,
2008-2009,West Side Story,Caucasian,28,,Musical,
2008-2009,West Side Story,Latino,18,,Musical,
2008-2009,West Side Story,Other,0,,Musical,
2008-2009,White Christmas,African American,2,,Musical,
2008-2009,White Christmas,Asian American,1,,Musical,
2008-2009,White Christmas,Caucasian,30,,Musical,
2008-2009,White Christmas,Latino,0,,Musical,
2008-2009,White Christmas,Other,0,,Musical,
