time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-09-20T10:25:16.072Z,61.7581,-151.9376,102.6,1.8,ml,,,,0.48,ak,ak16868496,2017-09-20T10:31:11.451Z,"100km W of Willow, Alaska",earthquake,,0.9,,,automatic,ak,ak
2017-09-20T10:24:51.967Z,61.9639,-149.2594,30.7,1.7,ml,,,,1.06,ak,ak16868494,2017-09-20T10:29:00.865Z,"24km N of Fishhook, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-09-20T10:16:48.152Z,59.9033,-136.7092,0,1.1,ml,,,,0.82,ak,ak16867924,2017-09-20T10:20:08.817Z,"92km WNW of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-09-20T10:00:20.810Z,38.8186684,-122.8108368,2.51,1.05,md,19,92,0.004757,0.04,nc,nc72895661,2017-09-20T12:03:04.107Z,"6km NW of The Geysers, California",earthquake,0.31,0.48,0.17,5,automatic,nc,nc
2017-09-20T09:56:09.660Z,19.182333,-155.4776611,34.15,1.76,md,31,84,0.03055,0.15,hv,hv61914831,2017-09-20T09:59:19.120Z,"2km S of Pahala, Hawaii",earthquake,0.72,1.01,0.23,3,automatic,hv,hv
2017-09-20T09:54:51.660Z,33.7436667,-116.9168333,14.37,0.45,ml,12,74,0.05674,0.17,ci,ci38006888,2017-09-20T09:58:35.185Z,"2km WSW of Valle Vista, CA",earthquake,0.46,0.71,0.148,10,automatic,ci,ci
2017-09-20T09:44:13.647Z,63.1465,-151.3875,0.2,1,ml,,,,0.31,ak,ak16867848,2017-09-20T09:48:23.847Z,"112km NW of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-09-20T09:37:07.020Z,55.2931,-160.1086,60.27,3.7,mb,,106,0.217,1.09,us,us2000arir,2017-09-20T09:55:47.604Z,"25km E of Sand Point, Alaska",earthquake,9.4,16.6,0.225,5,reviewed,us,us
2017-09-20T09:14:04.990Z,38.8206673,-122.7668304,1.86,0.72,md,9,106,0.01008,0.01,nc,nc72895656,2017-09-20T09:28:03.651Z,"3km W of Cobb, California",earthquake,0.44,0.67,0.26,3,automatic,nc,nc
2017-09-20T09:13:51.830Z,37.1428,-117.481,15.5,1.3,ml,7,153.67,0.77,,nn,nn00606060,2017-09-20T09:16:15.464Z,"66km SSW of Goldfield, Nevada",earthquake,,,,,automatic,nn,nn
2017-09-20T09:09:07.760Z,33.9291667,-117.512,3.06,2.13,ml,131,14,0.05066,0.2,ci,ci38006880,2017-09-20T15:09:54.052Z,"3km E of Norco, CA",earthquake,0.1,0.19,0.145,117,reviewed,ci,ci
2017-09-20T09:01:56.470Z,30.5728,141.0335,51.74,4.9,mb,,129,2.739,1.37,us,us2000arig,2017-09-20T09:21:31.040Z,"Izu Islands, Japan region",earthquake,7.9,6.1,0.059,90,reviewed,us,us
2017-09-20T09:01:23.076Z,60.0051,-139.5276,0,1.6,ml,,,,0.49,ak,ak16867217,2017-09-20T09:04:36.437Z,"52km NNE of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-09-20T08:47:46.632Z,60.424,-142.8826,15.7,1.1,ml,,,,0.25,ak,ak16867146,2017-09-20T08:53:54.660Z,"47km NNW of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
